,Month,Listing,Amount,Adjusted Amount
0,1,Red Victorian - Air Bunk in shared Peacock Room,938.28,929.43
1,1,Red Victorian - Bed  in shared Friends Room,408.57,399.72
2,1,Red Victorian - Bunk #1 in shared Hole in the Wall,238.62,229.77
3,1,Red Victorian - Bunk #1 in shared Poster Room,757.18,748.33
4,1,Red Victorian - Bunk #2 in shared Hole in the Wall,569.2,560.35
5,1,Red Victorian - Bunk #2 in shared Hula Hoop Room,442.65,433.8
6,1,Red Victorian - Bunk #2 in shared Poster Room,813.61,804.76
7,1,Red Victorian - Bunk #3 in shared Poster Room,1075.24,1066.39
8,1,Red Victorian - Bunk #4 in shared Poster Room,728.31,719.46
9,1,Red Victorian - Bunk#1 in shared Hula Hoop Room,1206.68,1197.83
10,1,Red Victorian - Earth Bunk in shared Peacock Room,887.05,878.2
11,1,Red Victorian - Fire Bunk in shared Peacock Room,1171.49,1162.64
12,1,"Red Victorian - Private ensuite, Rose Garden",3505.58,3496.73
13,1,Red Victorian - Private room -  Rainbow Room,2913.53,2904.68
14,1,"Red Victorian - Private room 1/2 bath, Night Duty",2246.33,2237.48
15,1,"Red Victorian - Private room for 3, Friends Room",1255.18,1246.33
16,1,"Red Victorian - Private room w bath, Sunshine",2900.3,2891.45
17,1,"Red Victorian - Private room w loftbed, Butterfly",1631.54,1622.69
18,1,"Red Victorian - Private room w/4 beds, Poster Room",982.61,973.76
19,1,"Red Victorian - Private room w/sink, Golden Gate",1900.87,1892.02
20,1,"Red Victorian - Private room w/sink, Tea Garden",1965.13,1956.28
21,1,"Red Victorian - Private room, Earth Charter",2111.98,2103.13
22,1,"Red Victorian - Private room, Hole in the Wall",781.24,772.39
23,1,"Red Victorian - Private room, Peace Room",1324.94,1316.09
24,1,"Red Victorian - Private room, Playground",1753.18,1744.33
25,1,"Red Victorian - Private room, Skylight",2641.65,2632.8
26,1,"Red Victorian - Private suite w bath, Flower Child",3006.52,2997.67
27,1,"Red Victorian - Private suite w/bath, Gigi's",2255.25,2246.4
28,1,"Red Victorian - Private suite w/bath, Redwood",2838.87,2830.02
29,1,Red Victorian - Twin Bunks in shared Friends Room,613.04,604.19
30,1,Red Victorian - Two beds in shared Hula Hoop Room,177.51,168.66
31,1,Red Victorian - Water Bunk in shared Peacock Room,920.99,912.14
