,Month,Listing,Amount
0,1,Red Victorian - Air Bunk in shared Peacock Room,938.28
1,1,Red Victorian - Bed  in shared Friends Room,408.57
2,1,Red Victorian - Bunk #1 in shared Hole in the Wall,238.62
3,1,Red Victorian - Bunk #1 in shared Poster Room,757.18
4,1,Red Victorian - Bunk #2 in shared Hole in the Wall,569.2
5,1,Red Victorian - Bunk #2 in shared Poster Room,813.61
6,1,Red Victorian - Bunk #3 in shared Poster Room,1075.2400000000002
7,1,Red Victorian - Bunk #4 in shared Poster Room,728.31
8,1,Red Victorian - Earth Bunk in shared Peacock Room,887.05
9,1,Red Victorian - Fire Bunk in shared Peacock Room,1171.4900000000002
10,1,"Red Victorian - Private ensuite, Rose Garden",3505.58
11,1,Red Victorian - Private room -  Rainbow Room,2913.53
12,1,"Red Victorian - Private room 1/2 bath, Night Duty",2246.3300000000004
13,1,"Red Victorian - Private room for 3, Friends Room",1255.18
14,1,"Red Victorian - Private room w bath, Sunshine",2900.3
15,1,"Red Victorian - Private room w loftbed, Butterfly",1631.5400000000002
16,1,"Red Victorian - Private room w/4 beds, Poster Room",982.61
17,1,"Red Victorian - Private room w/sink, Golden Gate",1900.8700000000001
18,1,"Red Victorian - Private room w/sink, Tea Garden",1965.1299999999999
19,1,"Red Victorian - Private room, Earth Charter",2111.98
20,1,"Red Victorian - Private room, Hole in the Wall",781.24
21,1,"Red Victorian - Private room, Peace Room",1324.94
22,1,"Red Victorian - Private room, Playground",1753.18
23,1,"Red Victorian - Private room, Skylight",2641.65
24,1,"Red Victorian - Private suite w bath, Flower Child",3006.5200000000004
25,1,"Red Victorian - Private suite w/bath, Gigi's",2255.25
26,1,"Red Victorian - Private suite w/bath, Redwood",2838.87
27,1,"Red Victorian - Twin Bunk 2, shared room Hula Hoop",1206.68
28,1,"Red Victorian - Twin Bunk, shared room Hula Hoop",442.65
29,1,Red Victorian - Twin Bunks in shared Friends Room,613.04
30,1,Red Victorian - Two beds in shared Hula Hoop Room,177.51
31,1,Red Victorian - Water Bunk in shared Peacock Room,920.99
32,2,Red Victorian - Air Bunk in shared Peacock Room,898.98
33,2,Red Victorian - Bunk #1 in shared Hole in the Wall,446.97
34,2,Red Victorian - Bunk #1 in shared Poster Room,862.3800000000001
35,2,Red Victorian - Bunk #2 in shared Hole in the Wall,661.54
36,2,Red Victorian - Bunk #2 in shared Poster Room,761.35
37,2,Red Victorian - Bunk #3 in shared Poster Room,1275.86
38,2,Red Victorian - Bunk #4 in shared Poster Room,1122.85
39,2,Red Victorian - Earth Bunk in shared Peacock Room,892.88
40,2,Red Victorian - Fire Bunk in shared Peacock Room,494.1500000000001
41,2,"Red Victorian - Private ensuite, Rose Garden",2357.75
42,2,Red Victorian - Private room -  Rainbow Room,1894.21
43,2,"Red Victorian - Private room 1/2 bath, Night Duty",2286.64
44,2,"Red Victorian - Private room for 3, Friends Room",2726.8999999999996
45,2,"Red Victorian - Private room w bath, Sunshine",2726.71
46,2,"Red Victorian - Private room w loftbed, Butterfly",1633.7000000000003
47,2,"Red Victorian - Private room w/sink, Golden Gate",2780.4399999999996
48,2,"Red Victorian - Private room w/sink, Tea Garden",1985.0999999999997
49,2,"Red Victorian - Private room, Earth Charter",1763.07
50,2,"Red Victorian - Private room, Hole in the Wall",794.4300000000001
51,2,"Red Victorian - Private room, Peace Room",2339.6400000000003
52,2,"Red Victorian - Private room, Playground",2178.0099999999998
53,2,"Red Victorian - Private room, Skylight",1247.4199999999998
54,2,"Red Victorian - Private room, The Conservatory",1580.0300000000002
55,2,"Red Victorian - Private suite w bath, Flower Child",2289.3199999999997
56,2,"Red Victorian - Private suite w/bath, Gigi's",2677.51
57,2,"Red Victorian - Private suite w/bath, Redwood",3630.140000000001
58,2,"Red Victorian - Twin Bunk 2, shared room Hula Hoop",176.54
59,2,"Red Victorian - Twin Bunk, shared room Hula Hoop",143.56
60,2,Red Victorian - Water Bunk in shared Peacock Room,883.6700000000001
