,Date,Type,Confirmation Code,Start Date,Nights,Listing,Details,Reference,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Linens fee,Community fee,guest_name_sha256
0,03/04/2019,Payout,,,,,Transfer to *****4871,,USD,,254.31,,,,,
1,03/04/2019,Reservation,HM3FARRJMQ,03/03/2019,5.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,111.96,,3.46,8.75,5.0,8.75,ba15db961c60a70006ad872e59064558248333ad74d0dfc21ebf126175bc1116
2,03/04/2019,Reservation,HMYHPEJZSQ,03/03/2019,3.0,"Red Victorian - Private room w bath, Sunshine",,,USD,69.84,,2.16,7.0,4.0,7.0,3c45c1e077504c26d96b49e571db198e6ac7500639bdff510057d629367002b5
3,03/03/2019,Reservation,HMPANYMCWT,03/02/2019,2.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,72.51,,2.24,8.75,5.0,8.75,adc0f707a5bc3077fc64e54232d7f9206c291f6bf49286b2f62187dcbde8c10c
4,03/04/2019,Payout,,,,,Transfer to *****6485,,USD,,1934.61,,,,,
5,03/04/2019,Reservation,HM9REA49CK,03/03/2019,5.0,Red Victorian - Fire Bunk in shared Peacock Room,,,USD,216.12,,6.68,15.0,15.0,20.0,b9451d21a974d509f4029e50ab31769739e01b05536ba7bf94be338f146f9681
6,03/04/2019,Reservation,HM3FARRJMQ,03/03/2019,5.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,335.89,,10.39,26.25,15.0,26.25,ba15db961c60a70006ad872e59064558248333ad74d0dfc21ebf126175bc1116
7,03/04/2019,Reservation,HM4JAAM9RC,03/03/2019,7.0,Red Victorian - Bunk #1 in shared Poster Room,,,USD,292.07,,9.03,15.0,20.0,15.0,fa1efa5542f3daad3b207ec9ad5e4da4e94326a34211ef6fd82cd0ff7d246f7d
8,03/04/2019,Reservation,HMYHPEJZSQ,03/03/2019,3.0,"Red Victorian - Private room w bath, Sunshine",,,USD,279.36,,8.64,28.0,16.0,28.0,3c45c1e077504c26d96b49e571db198e6ac7500639bdff510057d629367002b5
9,03/04/2019,Reservation,HMSEKEQP2R,03/03/2019,4.0,"Red Victorian - Private room for 3, Friends Room",,,USD,453.96,,14.04,20.0,15.0,40.0,157a71c9fda3db6c27f45329ee7d4e2920a066de76dd9fd489f73b2b4fd3ec7f
10,03/04/2019,Reservation,HMSPJNKZCD,03/03/2019,4.0,Red Victorian - Water Bunk in shared Peacock Room,,,USD,177.51,,5.49,15.0,15.0,20.0,4d153e9e9e007a1e26555d7d7d23b30385f35de438c0fedc3482fb56fcf7c6a8
11,03/04/2019,Reservation,HMWWB3JNWB,03/03/2019,3.0,Red Victorian - Private room -  Rainbow Room,,,USD,153.51,,2.52,0.0,,10.9,63381680d56a62f2eb71a8a46b3e33985c9a9e28174642b1e9df12c70de9d125
12,03/02/2019,Reservation,HMNH2JMBXA,03/01/2019,3.0,"Red Victorian - Twin Bunk, shared room Hula Hoop",,,USD,26.19,,0.81,3.0,4.0,4.0,eb1e40696ac8be351ee6f7c693f46501f75b63218c893c0dfd23c23b20d4c068
13,03/03/2019,Payout,,,,,Transfer to *****6485,,USD,,1055.99,,,,,
14,03/03/2019,Reservation,HMCEDSRPDZ,03/02/2019,2.0,"Red Victorian - Private room, The Conservatory",,,USD,206.66,,6.39,30.8,17.6,30.8,2b0f8f0f69d08858c5f5e6ae0c7422c4f82035b2e18fb4c75e834ef26e808f79
15,03/03/2019,Reservation,HMA3B4AME9,03/02/2019,3.0,Red Victorian  -  double loft in shared room Eden,,,USD,98.94,,2.56,0.0,,,a4a7808dd162eb2f8db601628325f9f7724891282440e2671035743ddd02b307
16,03/03/2019,Reservation,HMPANYMCWT,03/02/2019,2.0,"Red Victorian - Private ensuite, Rose Garden",,,USD,217.52,,6.73,26.25,15.0,26.25,adc0f707a5bc3077fc64e54232d7f9206c291f6bf49286b2f62187dcbde8c10c
17,03/03/2019,Reservation,HMWXCCXPM5,03/02/2019,14.0,Red Victorian - Double bed in shared Eden Room,,,USD,507.89,,15.71,15.0,20.0,15.0,85f1fe3c561f96d2acc80b85f7ef0947865744214335ee316410f41efdd1e02b
18,03/01/2019,Reservation,HMETRP2TN5,02/28/2019,4.0,"Red Victorian - Twin Bunk 2, shared room Hula Hoop",,,USD,24.98,,0.77,2.01,2.69,2.52,6ddb19c6d8350ca95f3521e3348faa31808d2146cdc0afdcc15dc745618f29f0
19,03/02/2019,Payout,,,,,Transfer to *****4871,,USD,,375.71,,,,,
20,03/02/2019,Reservation,HM3CPE3SKQ,03/01/2019,3.0,"Red Victorian - Private room, Skylight",,,USD,35.2,,1.09,4.2,2.4,4.2,587c7bf65a1c5a6c4b034e58b5db5c6674de0b6f104c31a3a69db6f0494087c8
21,03/02/2019,Reservation,HMPQJ9JKQX,03/01/2019,4.0,"Red Victorian - Private room, Earth Charter",,,USD,89.43,,2.77,7.0,4.0,7.0,8ba89a672344ec310128cb5d1e3d6f8f1fde957ad2ee1801cc282f18c0401704
22,03/02/2019,Reservation,HM9SEAK9JN,03/01/2019,9.0,"Red Victorian - Private room, Playground",,,USD,166.93,,5.16,7.0,4.0,8.56,f68a5fc590ffea6397820183428177d2f590bb287afda87e1f196172b5555914
23,03/02/2019,Reservation,HM2PP2CF2P,03/01/2019,3.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,84.15,,2.6,5.0,3.75,10.0,342478ad10f267ca9de513b4477fd999018bef9a1df3eebc9dc527edd229cc10
24,03/02/2019,Payout,,,,,Transfer to *****6485,,USD,,2748.56,,,,,
