Listing,listing-name,room-name
Red Victorian - Air Bunk in shared Peacock Room,Peacock - Air Bunk,Peacock
Red Victorian - Bed  in shared Friends Room,Friends - Bed,Friends
Red Victorian - Bunk #1 in shared Hole in the Wall,HitW - Bunk 1,Hole in the Wall
Red Victorian - Bunk #1 in shared Poster Room,Poster - Bunk 1,Poster
Red Victorian - Bunk #2 in shared Hole in the Wall,HitW - Bunk 2,Hole in the Wall
Red Victorian - Bunk #2 in shared Hula Hoop Room,Hula Hoop - Bunk 2,Hula Hoop
Red Victorian - Bunk #2 in shared Poster Room,Poster - Bunk 2,Poster
Red Victorian - Bunk #3 in shared Poster Room,Poster - Bunk 3,Poster
Red Victorian - Bunk #4 in shared Poster Room,Poster - Bunk 4,Poster
Red Victorian - Bunk#1 in shared Hula Hoop Room,Hula Hoop - Bunk 1,Hula Hoop
Red Victorian - Earth Bunk in shared Peacock Room,Peacock - Earth Bunk,Peacock
Red Victorian - Fire Bunk in shared Peacock Room,Peacock - Fire Bunk,Peacock
"Red Victorian - Private ensuite, Rose Garden",Rose Garden,Rose Garden
Red Victorian - Private room -  Rainbow Room,Rainbow Room,Rainbow Room
"Red Victorian - Private room 1/2 bath, Night Duty",Night Duty,Night Duty
"Red Victorian - Private room for 3, Friends Room",Friends Room,Friends
"Red Victorian - Private room w bath, Sunshine",Sunshine,Sunshine
"Red Victorian - Private room w loftbed, Butterfly",Butterfly,Butterfly
"Red Victorian - Private room w/4 beds, Poster Room",Poster Room,Poster
"Red Victorian - Private room w/sink, Golden Gate",Golden Gate,Golden Gate
"Red Victorian - Private room w/sink, Tea Garden",Tea Garden,Tea Garden
"Red Victorian - Private room, Earth Charter",Earth Charter,Earth Charter
"Red Victorian - Private room, Hole in the Wall",Hole in the Wall Room,Hole in the Wall
"Red Victorian - Private room, Peace Room",Peace,Peace
"Red Victorian - Private room, Playground",Playground,Playground
"Red Victorian - Private room, Skylight",Skylight,Skylight
"Red Victorian - Private suite w bath, Flower Child",Flower Child,Flower Child
"Red Victorian - Private suite w/bath, Gigi's",Gigi's,Gigi's
"Red Victorian - Private suite w/bath, Redwood",Redwood,Redwood
Red Victorian - Twin Bunks in shared Friends Room,Friends Bunks,Friends
Red Victorian - Two beds in shared Hula Hoop Room,Hula Hoop Room,Hula Hoop
Red Victorian - Water Bunk in shared Peacock Room,Peacock - Water Bunk,Peacock
